Id,Fipe,Marca,Modelo,Valor,Ano Fabricacao,Ano Modelo,KM,Transmissao,Cor,Versao,Cidade,Tipo Vendedor,Link
37619020,100,FIAT,CRONOS,71900,2018,2019,85766,Manual,Branco,1.8 E.TORQ FLEX PRECISION MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/FIAT/CRONOS/1.8-E.TORQ-FLEX-PRECISION-MANUAL/4-portas/2018-2019/37619020
38850362,105,CHEVROLET,MONTANA,59500,2018,2019,77000,Manual,Prata,1.4 MPFI LS CS 8V FLEX 2P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/MONTANA/1.4-MPFI-LS-CS-8V-FLEX-2P-MANUAL/2-portas/2018-2019/38850362
38932546,105,TOYOTA,ETIOS,71990,2019,2020,20765,Automática,Preto,1.5 X PLUS 16V FLEX 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/TOYOTA/ETIOS/1.5-X-PLUS-16V-FLEX-4P-AUTOMATICO/4-portas/2019-2020/38932546
38984937,114,VOLKSWAGEN,SAVEIRO,59900,2017,2018,47500,Manual,Branco,1.6 MSI ROBUST CS 8V FLEX 2P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/SAVEIRO/1.6-MSI-ROBUST-CS-8V-FLEX-2P-MANUAL/2-portas/2017-2018/38984937
39304060,111,VOLKSWAGEN,GOL,57900,2019,2019,96597,Manual,Branco,1.6 MSI TOTALFLEX 4P MANUAL,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/GOL/1.6-MSI-TOTALFLEX-4P-MANUAL/4-portas/2019-2019/39304060
39475094,107,KIA,SPORTAGE,83900,2012,2013,100039,Automática,Branco,2.0 EX 4X2 16V FLEX 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/KIA/SPORTAGE/2.0-EX-4X2-16V-FLEX-4P-AUTOMATICO/4-portas/2012-2013/39475094
39681487,114,CHEVROLET,JOY,59900,2019,2020,48019,Manual,Branco,1.0 SPE4 FLEX PLUS MANUAL,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/JOY/1.0-SPE4-FLEX-PLUS-MANUAL/4-portas/2019-2020/39681487
39703751,98,CITROEN,C4 LOUNGE,84900,2018,2019,68836,Automática,Branco,1.6 THP FLEX SHINE BVA,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/CITROEN/C4 LOUNGE/1.6-THP-FLEX-SHINE-BVA/4-portas/2018-2019/39703751
39840491,134,FORD,KA,18000,2003,2003,114300,Manual,Azul,1.6 MPI ACTION 8V GASOLINA 2P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/FORD/KA/1.6-MPI-ACTION-8V-GASOLINA-2P-MANUAL/2-portas/2003-2003/39840491
39881085,104,FIAT,BRAVO,59900,2015,2016,106485,Manual,Preto,1.8 SPORTING 16V FLEX 4P MANUAL,São José,PJ,https://www.webmotors.com.br/comprar/FIAT/BRAVO/1.8-SPORTING-16V-FLEX-4P-MANUAL/4-portas/2015-2016/39881085
39882776,102,RENAULT,SANDERO,51990,2018,2019,57415,Manual,Cinza,1.6 16V SCE FLEX EXPRESSION MANUAL,São José,PJ,https://www.webmotors.com.br/comprar/RENAULT/SANDERO/1.6-16V-SCE-FLEX-EXPRESSION-MANUAL/4-portas/2018-2019/39882776
39928838,105,VOLKSWAGEN,FOX,29990,2010,2011,102000,Manual,Prata,1.0 MI TREND 8V FLEX 4P MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/FOX/1.0-MI-TREND-8V-FLEX-4P-MANUAL/4-portas/2010-2011/39928838
35076832,82,VOLKSWAGEN,GOLF,64900,2014,2015,112000,Automática,Preto,1.4 TSI HIGHLINE 16V GASOLINA 4P AUTOMATICO,Balneário Camboriú,PF,https://www.webmotors.com.br/comprar/VOLKSWAGEN/GOLF/1.4-TSI-HIGHLINE-16V-GASOLINA-4P-AUTOMATICO/4-portas/2014-2015/35076832
36269328,97,RENAULT,CAPTUR,86900,2019,2020,48265,Automática,Branco,2.0 16V HI-FLEX INTENSE AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/RENAULT/CAPTUR/2.0-16V-HI-FLEX-INTENSE-AUTOMATICO/4-portas/2019-2020/36269328
32867001,107,VOLKSWAGEN,POLO,92800,2019,2019,28500,Automática,Prata,1.0 200 TSI HIGHLINE AUTOMATICO,Balneário Camboriú,PF,https://www.webmotors.com.br/comprar/VOLKSWAGEN/POLO/1.0-200-TSI-HIGHLINE-AUTOMATICO/4-portas/2019-2019/32867001
35893659,99,TOYOTA,COROLLA,90000,2016,2017,57000,Automática,Preto,2.0 XEI 16V FLEX 4P AUTOMATICO,Itajaí,PF,https://www.webmotors.com.br/comprar/TOYOTA/COROLLA/2.0-XEI-16V-FLEX-4P-AUTOMATICO/4-portas/2016-2017/35893659
32368711,97,DODGE,JOURNEY,77500,2015,2015,111000,Automática,Prata,3.6 RT AWD V6 GASOLINA 4P AUTOMATICO,Gaspar,PF,https://www.webmotors.com.br/comprar/DODGE/JOURNEY/3.6-RT-AWD-V6-GASOLINA-4P-AUTOMATICO/4-portas/2015-2015/32368711
32865786,666,VOLKSWAGEN,KOMBI,80000,1983,1983,60000,Manual,Vermelho,1.6 LUXO 8V GASOLINA 3P MANUAL,Itajaí,PF,https://www.webmotors.com.br/comprar/VOLKSWAGEN/KOMBI/1.6-LUXO-8V-GASOLINA-3P-MANUAL/0-portas/1983-1983/32865786
29498354,91,BMW,328i,95000,2012,2013,103000,Automática,Preto,2.0 PLUS SEDAN 16V GASOLINA 4P AUTOMATICO,Itapema,PF,https://www.webmotors.com.br/comprar/BMW/328i/2.0-PLUS-SEDAN-16V-GASOLINA-4P-AUTOMATICO/4-portas/2012-2013/29498354
37082066,666,HONDA,CIVIC,64900,2013,2013,99000,Automática,Preto,2.0 LXR 16V FLEX 4P AUTOMATICO,Balneário Piçarras,PF,https://www.webmotors.com.br/comprar/HONDA/CIVIC/2.0-LXR-16V-FLEX-4P-AUTOMATICO/4-portas/2013-2013/37082066
22851006,89,TOYOTA,COROLLA,75000,2016,2017,19600,Automática,Prata,1.8 GLI 16V FLEX 4P AUTOMATICO,Balneário Camboriú,PF,https://www.webmotors.com.br/comprar/TOYOTA/COROLLA/1.8-GLI-16V-FLEX-4P-AUTOMATICO/4-portas/2016-2017/22851006
